game_id	name	summary	video_id	platform
358	Super Mario Bros.	A side scrolling 2D platformer and first entry in the Super Mario franchise, Super Mario Bros. follows Italian plumber Mario as he treks across many levels of platforming challenges featuring hostile enemies to rescue Princess Peach from the evil king Bowser.	sSgTB-tKrNk	Nintendo 3DS,Nintendo Entertainment System,Wii,Wii U
1066	Super Mario Bros.: The Lost Levels	Super Mario Bros.: The Lost Levels is a direct sequel to Super Mario Bros. Not to be confused with the western Super Mario Bros. 2, this sequel to Super Mario Bros. is very much an expansion to the original, with many reused graphics and concepts, though new ones are also present. The game was initially released for the Japan-only Family Computer Disk System.	dZHxqZ0Sd0A	Nintendo 3DS,Wii,Wii U
1068	Super Mario Bros. 3	Super Mario Bros. 3, the third entry in the Super Mario Bros. series and Super Mario franchise, sees Mario or Luigi navigate a nonlinear world map containing platforming levels and optional minigames and challenges. The game features more diverse movement options and new items alongside more complex level designs and boss battles.	HU80R7jGanE	Nintendo 3DS,Nintendo Entertainment System,Wii,Wii U
1069	Super Mario Land	Super Mario Land is the first Mario's outing on the Game Boy. It is a side-scrolling platformer much in the vein of the previous Super Mario Bros. This time, Mario must save Princess Daisy, rather than Princess Toadstool, from her kidnapper Tatanga, a mysterious spaceman. The game follows largely the same formula of its aforementioned predecessor, with Mario defeating enemies by jumping on them and collecting coins and power ups by hitting floating blocks, with each world leading up to a boss fight which is defeated using by collapsing the floor. A unique feature of this instalment is two scrolling shoot-'em-up levels, the first of which Mario pilots a submarine, and the second an aeroplane.	PG1q5q0spQE	Game Boy,Nintendo 3DS
1070	Super Mario World	A 2D platformer and first entry on the SNES in the Super Mario franchise, Super Mario World follows Mario as he attempts to defeat Bowser's underlings and rescue Princess Peach from his clutches. The game features a save system, a less linear world map, an expanded movement arsenal and numerous new items for Mario, alongside new approaches to level design and art direction.	Vxg5eOPmzHI	Nintendo 3DS,Super Nintendo Entertainment System,Wii,Wii U
1071	Super Mario Land 2: 6 Golden Coins	Super Mario Land 2: 6 Golden Coins is a platforming game for the Game Boy and the sequel to Super Mario Land. It also marks the debut of Mario's self-proclaimed arch rival Wario, who would later become a recurring character in the Mario series as well as a protagonist in his own series. The game features new graphics, power-ups, challenges, and a completely original storyline.	gZm5cXRShO4	Game Boy,Nintendo 3DS
1072	Wario Land: Super Mario Land 3	Hey! Things are really cookin' on Kitchen Island! Wario's got a scheme to steal the pirates' treasure so he can have his very own castle! You help Wario get the treasure by smashing into the the magic pots! Each pot changes him into Dragon Wario, Bull Wario, or Jet Wario! With each change comes new powers!  Dozens of enemies try to stop Wario, but you have the power to beat them!  Be the bad guy!  Explore the many exciting levels of Kitchen Island!  Battery-backed memory saves your progress for many hours of fun!	rcSfgVzL6hU	Game Boy,Nintendo 3DS
1073	Super Mario World 2: Yoshi's Island	Super Mario World 2: Yoshi's Island is a platform video game acting as a prequel to 1990's Super Mario World. The game casts players as Yoshi as he escorts Baby Mario through 48 levels in order to reunite him with his brother Luigi, who had been kidnapped by Baby Bowser's minions. As a Super Mario series platformer, Yoshi runs and jumps to reach the end of the level while solving puzzles and collecting items. In a style new to the series, the game has a hand-drawn aesthetic and is the first to have Yoshi as its main character. The game introduces his signature abilities to flutter jump, produce eggs from swallowed enemies, and transform into vehicles.	SbIWiq1pDuw	Super Nintendo Entertainment System
1074	Super Mario 64	The first three dimensional entry in the Mario franchise, Super Mario 64 follows Mario as he puts his broadened 3D movement arsenal to use in order to rescue Princess Peach from the clutches of his arch rival Bowser. Mario has to jump into worlds-within-paintings ornamenting the walls of Peach's castle, uncover secrets and hidden challenges and collect golden stars as reward for platforming trials.	ul2Cw9PL5Q4	Nintendo 64,Wii,Wii U
1075	Super Mario Sunshine	Super Mario Sunshine is a Mario action-adventure 3D platformer. It follows Super Mario 64, and is the second 3D Mario platformer. Gameplay features a combination of action and puzzle solving, with numerous stages and multiple episodes to each stage, and plenty of hidden secrets and surprises. This game introduced many recurring characters and bosses in the Mario series, including Toadsworth, Bowser Jr., Petey Piranha, Gooper Blooper, Piantas, Nokis, Shadow Mario, and F.L.U.D.D. Super Mario Sunshine pays homage to Mario's Italian heritage and upbringing, with many of the locations in the game having Italian names and sometimes referencing Italian culture.	Kr2b--ckbds	Nintendo GameCube
1076	New Super Mario Bros.	New Super Mario Bros. is a side-scrolling 2.5D action-adventure platformer game for the Nintendo DS, starring Mario and Luigi. The game features a solo story mode with Mario or Luigi, a two-player wireless game Mario Vs. Luigi, as well as a minigame mode for up to four players. The gameplay of New Super Mario Bros. is very much like that of the classic 2D platformers, mostly Super Mario Bros. and Super Mario Bros. 3, and substantially builds upon them to create gameplay both classic and contemporary. As the game is on DS, the touch screen allows players to store an additional power-up and view the distance still to go in a level.	Zy41U69D6Lc	Nintendo DS,Wii U
1077	Super Mario Galaxy	A 3D platformer and first Wii entry in the Super Mario franchise, Super Mario Galaxy sees Mario jump across planets and galaxies with varying items, enemies, geographies and gravity mechanics in order to reach his enemy Bowser, who has attacked the Mushroom Kingdom and hijacked Princess Peach's castle with her inside.	-ZH0SHeu46Q	Wii
1078	Super Mario Galaxy 2	Super Mario Galaxy 2 is the sequel to Super Mario Galaxy and the fourth 3D platformer entry in the Mario franchise. The sequel retains many elements from its predecessor, such as the adventure being in outer space, the element of gravity, and recurring objects such as Launch Stars and Sling Stars. Returning items include the Bee Mushroom and the Fire Flower. However, the game introduces new elements as well, such as the utilization of Yoshi, new power-ups like the Cloud Flower, and the use of a guide within the game for beginner players.	wGSdQdsHOzo	Wii,Wii U
1079	Super Mario 3D Land	Super Mario 3D Land is the second 3D Super Mario platformer for a handheld device, and the successor to Super Mario Galaxy 2. The game is closely based on side-scrolling Mario games, as it combine elements from both traditional 2D Mario games and modern free-roaming 3D Mario games. It also introduces elements into the series, including power-ups and gameplay mechanics.	QlniEA5o2Kw	Nintendo 3DS
1080	New Super Mario Bros. 2	New Super Mario Bros. 2 is a side-scrolling 2.5D action-adventure platform game for the Nintendo 3DS. As the direct sequel to New Super Mario Bros., it is an indirect follow-up to New Super Mario Bros. Wii. The game's main focus is on coins, with the primary goal being to collect one million. To reach the goal, the game includes many new items to aid the player, such as the Gold Flower, which turns Mario into Gold Mario.	OIhF5hWpAgU	Nintendo 3DS
2171	New Super Mario Bros. U	New Super Mario Bros. U is a side-scrolling 2.5D platform game, and the fourth and latest installment in the New Super Mario Bros. series. As the sequel to New Super Mario Bros. Wii, the game is a follow-up game of New Super Mario Bros. 2. It uses new, more detailed background styles and models and introduces the Flying Squirrel power-up, acquired by Mario and his friends from an item called the Super Acorn, as well as utilizing the Wii U GamePad in Boost Mode. In addition to the core campaign, there are also challenge modes.	IQHa4qindfE	Wii U
2178	New Super Mario Bros. Wii	New Super Mario Bros. Wii is a side-scrolling 2.5D Mario platformer for the Wii and the tenth game in the Super Mario series. In addition to the single-player experience, New Super Mario Bros. Wii also features a multiplayer mode for up to four players. This is the first Super Mario game to feature co-op and vs. modes at the same time since Mario Bros. It features more items, new levels, and more enemies than the DS predecessor. The game introduces two new power-ups, the Propeller Mushroom and the Penguin Suit, which turn characters into their propeller and penguin forms, respectively.	__x__iktPxE	Wii,Wii U
2180	Super Mario 3D World	Super Mario 3D World is a 3D platformer action game for the Wii U, and a follow-up of the Nintendo 3DS installment Super Mario 3D Land. The game builds upon the previous installment, following a similar 3D level-design convention inspired from the 2D platformer titles where players must navigate through a linear-designed level within a time limit to reach a level's Goal Pole. One key aspect introduced in this title is the simultaneous multiplayer: while not the first game in the series to do so, it is the first 3D title in the Mario series to incorporate up to four players cooperating with each other to reach the goal. Players can select their character from a pool of playable characters prior to starting the game, and each of these characters have their own unique playstyle that gives them advantages and disadvantages over other characters. The game makes use of several Wii U exclusive features, such as tapping blocks with the touch screen on the GamePad and blowing into the mic to reveal hidden items and blow away enemies. Various new power-ups are introduced in this title, with the trademark suit being the Cat power-up, which enables characters to perform a melee attack, climb up walls, and leap while midair, as well as the game generally having a cat-based theme.	wLOKVABfrzw	Wii U
2183	Mario Kart Wii	Mario Kart Wii is a multiplayer-oriented racing game for the Wii, and the sixth main installment in the Mario Kart series. Mario Kart Wii retains the traditional item-based weaponry familiar with the franchise, where players can select a Mario franchise driver and themed vehicles. As with most racing games, the overarching goal is to place first among other competitors, through the usage of such items and taking the fastest routes to secure the leads. Several new key elements introduced to Mario Kart Wii include increasing the number of racers to 12 racers from 8 racers from previous entries in the series, as well as introducing a new type of vehicle to the franchise: bikes. The game takes advantage of features unique to the Wii, most notably its motion control capabilities. A Wii Wheel is included in most Mario Kart Wii packages, though the game is still compatible with other controllers. Game modes are also present such as the traditional Grand Prix, Versus, Battle, and Time Trial modes.	MKHLzFGA8o8	Wii
2191	Super Paper Mario	The newest chapter of the Paper Mario story isn't just out of this world... it's out of this dimension. What at first glance appears to be a 2D side-scroller ripped straight from the stylized pages of the Paper Mario universe soon turns into a hilarious dimension-shifting platformer possible only on Wii.	ZiZ3uxff5LY	Wii,Wii U
2193	Mario Party 8	Mario Party 8 is the eighth installment of the Mario Party series on a home console and the first Mario Party game for the Wii. Mario Party 8 is notable for its strong use of the Wii Remote and its motion control capabilities in minigames. Players are required to perform various gestures instead of traditional button/joystick controls. Common motions include pointing-and-shooting, shaking, waving, turning, and twisting the Wii Remote. Player-created Miis are featured in this game, wherein they often show up within crowds. Miis can appear in certain minigames and may also serve as the player's character in Extra Mode. By playing regular party games, minigames, and completing the Star Battle Arena mode, players will earn Carnival Cards, which may be spent to unlock figures and game features.	jNhglqbItaw	Wii
2255	Mario Strikers Charged	Mario Strikers Charged is a Mario soccer Wii game and the sequel to the Nintendo GameCube game Super Mario Strikers. Up to four players can participate in this game as play soccer, attempting to kick the ball into another opponent's goal. The soccer in this game, however, has several differences than the real soccer, such as the ability to tackle other players with a minimal penalty, using Mario-themed items to give players an advantage over their opponents, and playing with stage hazards effectively. This game places a higher emphasis on individual character attributes compared to its precedent, by not only assigning stats, but by also giving team captains a unique Super Ability and the Mega Strike, an opportunity to score up to six goals. Another introduced mechanic is the power level of the ball: indicated by the color of the glow, the shots of the ball become more quick and powerful the more active it is, thus making it easier to score goals with.	XBinxNwAN5s	Wii,Wii U
2256	Super Mario Strikers	Forget what you know about soccer, because in the Mushroom Kingdom, anything goes! Get ready for crazy five-on-five matches as Mario and Co. hit the pitch for the first time ever!  Super Mario Strikers was the last Mario game to be released on the GameCube in Japan and North America.	G6xuCjb80eg	Nintendo GameCube
2327	Mario Party	Every game in the main series has a standard Party Mode in which up to four players play through a board, trying to collect as many stars as possible. In every turn, each player rolls a die and progresses on the board, which usually has branching paths. Coins are primarily earned by performing well in a minigame played at the end of each turn. On most boards, players earn stars by reaching a star space and purchasing a star for a certain amount of coins. The star space appears randomly on one of several pre-determined locations and moves every time a star is purchased, usually occupying a blue space. Every Mario Party contains at least 50 to almost 110 minigames with a few different types. Four-player games are a free-for-all in which players compete individually. In 2-on-2 and 1-on-3 minigames, players compete as two groups, cooperating to win, even though they are still competing individually in the main game. Some minigames in Mario Party are 4-player co-op, even though it doesn't say it. In most situations, winners earn ten coins each.	e8G5Aj8dMpk	Nintendo 64
2328	Mario Party 2	Mario and the gang are back for another round of Bowser-bashin' party action! Watch as your favorite Nintendo characters don different duds for each of the five all-new Adventure Boards! A slew of new tricks and devices bring new levels of challenge and excitement to board game play. New board maps, new Mini-Games, new action and new surprises means a whole new batch of fun! Get ready to unleash your best Hip Drops, hammer swings and high-flying high junks for another round of frenzied multi-player action!	UOnM78qYHzY	Nintendo 64,Wii,Wii U
2329	Mario Party 3	Mario Party 3 is the third and final Mario Party title for the Nintendo 64. A total of eight characters are available to choose from: Mario, Luigi, Princess Peach, Yoshi, Wario, Donkey Kong, and newcomers Waluigi and Princess Daisy. Mario Party 3 features duel maps, in which two players try to lower each other's stamina to zero using non-playable characters such as Chain Chomps. It is the first Mario Party game to feature Luigi's main voice and also it is last Mario game where Princess Daisy appears in a yellow and white dress, and with long hair, as well as the last Mario game (until New Super Mario Bros. Wii) in which Yoshi's "record-scratching" voice is used. It is also the first Mario Party game to have multiple save slots.	GkJwz7gq0SA	Nintendo 64
2330	Mario Party 4	Toad, Koopa, and other party-planning pranksters have hidden birthday presents for their closest friends inside the Party Cube. To win the presents, Mario, Yoshi, Peach, and other Mushroom Kingdom favorites will have to plunge into a circus of minigame trickery. As always, keep an eye out for Bowser and his trouble-making goons. Even Whomp and Thwomp have rockin' surprises for you in their Extra Room. Packed with surprises, wild multiplayer action, and zany challenges, Mario Party 4 is your ticket to a good time.	Yjs04Woae98	Nintendo GameCube
2331	Mario Party 5	Help Mario and his friends restore peace to Dream World while racing around all-new game boards and finding new surprises.	U0UegZX2BVs	Nintendo GameCube
2332	Super Mario Kart	Super Mario Kart is a racing game for the Super Nintendo Entertainment System and the first game of the Mario Kart series, as well as the game that sets precedents to the fictional kart racing genre. Part of this game is heavily based on Super Mario World in terms of graphics and overall theme. Using Mode 7 scaling, the first true kart game on the SNES has you collecting coins to boost your speed while using shells and bananas to stop others on the track.	d2YL1hm8Gd0	Super Nintendo Entertainment System,Wii,Wii U
2333	Mario Party 6	Mario Party 6 offers a new batch of games that require both your fingers and your voice. In this installment in the Mario Party series, you can use the included microphone controller to talk your way to victory. More than 80 minigames are included. You can play as Mario, Bowser, or other characters from the Mushroom Kingdom. New characters appear on the board depending on what time of day it is. The game supports up to four players.	iQSraarJcp4	Nintendo GameCube
2334	Mario Party 7	You can play more than 80 new minigames in the most recent Mario-themed party game, Mario Party 7. Mario and pals needed some time off, but they forgot to invite Bowser on their cruise. You can battle against an angry Bowser or up to seven of your friends on a single GameCube system. Mario Party 7 includes a few new characters and brings back microphone support from Mario Party 6.	5AUhL4C3RLo	Nintendo GameCube
2335	Mario Party DS	He's captured Mario and his friends in his pursuit of a crystal that the group collected when it fell from the sky, and he doesn't hesitate to shrink them to miniature size to get rid of them and get his hands on the other four crystals. The mini-heroes have to find the crystals before he does, making their way through giant environments filled with enormous creatures. The single-player campaign takes place in five different settings, each of them ending with a boss. As usual, players have to collect coins and stars, at the same time escaping dangers such as Piranha Plants and other classic creatures from the Mario universe.	AKYYuoBX-R4	Nintendo DS,Wii U
